State,Metro,Name,Instagram,Followers_Range,Contact_Type,Category,Notes/Source
Alabama,Birmingham–Hoover,Nicole Boyd,@nicolesellsbham,<10k,Nano,Realtor,Active Birmingham listings & reels
Alabama,Birmingham–Hoover,Connie Alexander,@conniealexanderjacks,10k–50k,Micro,Realtor,Local luxury & relocations
Alabama,Birmingham–Hoover,RealtySouth,@realtysouth_,50k+,Macro,Brokerage,Large statewide brokerage IG
Alabama,Birmingham–Hoover,James Kemp,@homesbyjkemp,<10k,Nano,Realtor,Neighborhood-focused tours
Alabama,Birmingham–Hoover,ARC Realty,@arcrealty,10k–50k,Micro,Brokerage,Features higher-end listings
Alaska,Anchorage,Top Shelf Realty AK,@topshelfrealtyak,10k–50k,Micro,Brokerage,"Luxury cabins, view-heavy content"
Alaska,Anchorage,Jack White Real Estate,@jackwhiterealestate,10k–50k,Micro,Brokerage,Major Alaska brokerage
Alaska,Anchorage,Realty In Alaska,@realtyinak,<10k,Nano,Realtor,Anchorage lifestyle + listings
Alaska,Anchorage,Kristan Cole Network,@kristancolenetwork,50k+,Macro,Team,National team with AK presence
Alaska,Anchorage,Elite Real Estate Group AK,@elitealaska,<10k,Nano,Brokerage,Luxury highlights in Anchorage area
Arizona,Phoenix–Mesa–Chandler,Arizona Luxury Partners,@arizonaluxurypartners,10k–50k,Micro,Team,Scottsdale/Phoenix luxury focus
Arizona,Phoenix–Mesa–Chandler,The Brokery,@thebrokery,50k+,Macro,Brokerage,High-end Scottsdale/Phoenix audience
Arizona,Phoenix–Mesa–Chandler,Christi Lott,@christilottrealtor,10k–50k,Micro,Realtor,Design-forward listing content
Arizona,Phoenix–Mesa–Chandler,Williams Luxury Homes,@williamsluxuryhomes,10k–50k,Micro,Team,Scottsdale new-devs & penthouses
Arizona,Phoenix–Mesa–Chandler,Launch Powered By Compass,@launchpnw,50k+,Macro,Team,Compass luxury team (AZ)
Arizona,Phoenix–Mesa–Chandler,America’s Most Expensive Homes (AZ feed),@americasmostexpensivehomes,50k+,Macro,Media/Aggregator,Luxury homes features (AZ often included)
Arkansas,Little Rock–NLR–Conway,Jon Underhill Real Estate,@jonunderhillrealestate,10k–50k,Micro,Brokerage,Upscale Little Rock listings
Arkansas,Little Rock–NLR–Conway,The Janet Jones Company,@janetjonescompany,10k–50k,Micro,Brokerage,Premier LR brokerage
Arkansas,Little Rock–NLR–Conway,Sara T.,@lifewithsara_t,<10k,Nano,Creator/RE,Local lifestyle + real estate
Arkansas,Little Rock–NLR–Conway,Alexis Cox Realty,@alexiscoxrealty,<10k,Nano,Realtor,Move-in tours & tips
Arkansas,Little Rock–NLR–Conway,The Property Shop LR,@thepropertyshoplr,<10k,Nano,Brokerage,Curated higher-end homes
California,Los Angeles–Long Beach–Anaheim,Joyce Rey,@joycereyrealestate,50k+,Macro,Realtor,Beverly Hills icon; ultra-luxury
California,Los Angeles–Long Beach–Anaheim,Tracy Tutor,@tracytutor,50k+,Macro,Realtor/TV,MDLNY/LA personality; large audience
California,Los Angeles–Long Beach–Anaheim,Josh Altman,@thejoshaltman,50k+,Macro,Realtor/TV,High-reach celebrity agent
California,Los Angeles–Long Beach–Anaheim,Matt Altman,@themattaltman,50k+,Macro,Realtor/TV,Ultra-luxury exposure
California,Los Angeles–Long Beach–Anaheim,Farrah Brittany,@farrahbritt,50k+,Macro,Realtor/Lifestyle,Agency BH; strong luxury audience
California,Los Angeles–Long Beach–Anaheim,Carolwood Estates,@carolwoodrealestate,50k+,Macro,Brokerage,LA trophy listings
California,Los Angeles–Long Beach–Anaheim,The Agency RE,@theagencyre,50k+,Macro,Brokerage,Global luxury; LA core audience
California,Los Angeles–Long Beach–Anaheim,Million Dollar Listing,@bravomilliondollarlisting,50k+,Macro,Media/TV,Strong aspirational audience
California,Los Angeles–Long Beach–Anaheim,Compass LA Luxury,@compass,50k+,Macro,Brokerage,National but strong LA luxury
California,Los Angeles–Long Beach–Anaheim,Santiago Arana,@santiagorana,50k+,Macro,Realtor,Top LA producer; UHNWI reach
Colorado,Denver–Aurora–Lakewood,The Wolfe Group,@thewolfegroupco,10k–50k,Micro,Team,Denver luxury features
Colorado,Denver–Aurora–Lakewood,Liv Sotheby’s Denver,@livsirdenver,50k+,Macro,Brokerage,High-end statewide presence
Colorado,Denver–Aurora–Lakewood,Grace Brown Sullivan,@gracebrownsullivan,<10k,Nano,Realtor,Design-driven downtown listings
Colorado,Denver–Aurora–Lakewood,Kentwood Real Estate,@kentwoodreal,<10k,Nano,Brokerage,Denver core market
Colorado,Denver–Aurora–Lakewood,Colleen Sanders,@coleensanders_den,<10k,Nano,Realtor,Relocation + luxury rentals
Colorado,Denver–Aurora–Lakewood,5280 Luxe Living,@5280luxeliving,10k–50k,Micro,Creator/RE,Denver penthouses & views
Colorado,Denver–Aurora–Lakewood,MileHi Modern,@milehimodern,50k+,Macro,Brokerage,Modern luxury brand; strong IG
Colorado,Denver–Aurora–Lakewood,The Denver Luxe Team,@denverluxe,10k–50k,Micro,Team,High-end urban condos/houses
Colorado,Denver–Aurora–Lakewood,Denver Realtor Life,@denverrealtorlife,<10k,Nano,Creator/RE,Neighborhood highlight reels
Colorado,Denver–Aurora–Lakewood,West + Main Homes,@westandmainhomes,10k–50k,Micro,Brokerage,Stylish brand; engaged audience
